state,year,distid_stateassigned,schoolid_stateassigned,distname,schoolname,ncesdistid_admin,ncesdistid_geo,census_id,ncesid,ncesenroll,gradespan,level,enroll_raw_MO,enrollmetric,pp_stloc_raw_MO,pp_fed_raw_MO,pp_total_raw_MO,pp_site_stloc_raw_MO,pp_site_fed_raw_MO,pp_site_raw_MO,pp_centshare_stloc_raw_MO,pp_centshare_fed_raw_MO,pp_centshare_raw_MO,schoolstloc_raw_MO,schoolfed_raw_MO,schooltot_raw_MO,pp_total_norm_NERDS,countenroll,noaudit,nositecen,adfinvars,distflex,flag_nerds,flag_f33
MO,2018-2019,079-078,4020,ALTENBURG 48,ALTENBURG ELEM.,2903040,2903040,26507900100000.0,290304000014,98.0,KG-08,3.0,101,September Membership,11347.0199999999,707.8,12054.82,8233.55,707.8,8941.35,3113.47,0,3113.47,1146049.01999999,71487.7999999999,1217536.82,10386.64547,1,0,0,0,1,0,0
MO,2018-2019,075-087,4020,ALTON R-IV,Alton Elementary,2903060,2903060,26507500100000.0,290306000015,408.0,KG-06,2.0,375.66,September Membership,7584.6,325.65,7910.25,5130.96,323.26,5454.22,2453.64,2.39,2456.03,2849230.836,122333.679,2971564.515,8631.252058,1,0,0,0,1,0,0
MO,2018-2019,075-087,1050,ALTON R-IV,Alton High,2903060,2903060,26507500100000.0,290306000016,315.0,07-12,4.0,307.32,September Membership,9390.95,276.219999999999,9667.18,6937.31,273.83,7211.14,2453.64,2.39,2456.03,2886026.754,84887.9303999999,2970917.7576,10329.86843,1,0,0,0,1,0,0
MO,2018-2019,093-120,4010,APPLETON CITY R-II,APPLETON CITY ELEM.,2903120,2903120,26509300100000.0,290312000017,159.0,PK-05,2.0,147,September Membership,9514.86999999999,805.05,10319.92,6252.65,760.01,7012.65,3262.22,45.04,3307.26,1398685.89,118342.349999999,1517028.24,11258.56714,1,0,0,0,1,0,0
MO,2018-2019,093-120,1050,APPLETON CITY R-II,APPLETON CITY HIGH,2903120,2903120,26509300100000.0,290312000019,178.0,06-12,4.0,162,September Membership,10613.78,49.15,10662.93,7351.56,4.11,7355.67,3262.22,45.04,3307.26,1719432.36,7962.3,1727394.66,11590.19242,1,0,0,0,1,0,0
MO,2018-2019,047-062,1100,ARCADIA VALLEY R-II,ARCADIA VALLEY CAREER TECH CTR,2903150,2903150,26504750200000.0,290315000020,0.0,09-12,4.0,NRD,September Membership,NRD,NRD,NRD,NRD,NRD,NRD,NRD,NRD,NRD,NRD,NRD,NRD,,1,0,0,0,1,1,0
MO,2018-2019,047-062,4020,ARCADIA VALLEY R-II,ARCADIA VALLEY ELEM.,2903150,2903150,26504750200000.0,290315000021,345.0,PK-04,2.0,326.29,September Membership,9792.12,538.709999999999,10330.83,6733.14,530.79,7263.93,3058.98,7.92,3066.9,3195070.8348,175775.685899999,3370846.5207,10947.25631,1,0,0,0,1,0,0
MO,2018-2019,047-062,1050,ARCADIA VALLEY R-II,ARCADIA VALLEY HIGH,2903150,2903150,26504750200000.0,290315000022,327.0,09-12,4.0,296,September Membership,10604.94,687.89,11292.83,7545.96,679.97,8225.93,3058.98,7.92,3066.9,3139062.24,203615.44,3342677.68,11877.32692,1,0,0,0,1,0,0
MO,2018-2019,047-062,3000,ARCADIA VALLEY R-II,ARCADIA VALLEY MIDDLE,2903150,2903150,26504750200000.0,290315000023,282.0,05-08,3.0,282,September Membership,8436.79,23.06,8459.85,5377.81,15.14,5392.94,3058.98,7.92,3066.9,2379174.78,6502.92,2385677.7,9138.375332,1,0,0,0,1,0,0
MO,2018-2019,019-139,1050,ARCHIE R-V,ARCHIE HIGH,2903200,2903200,26501900100000.0,290320000025,301.0,06-12,4.0,301,September Membership,8464.7,612.38,9077.09,6102.74,445.28,6548.03,2361.96,167.1,2529.06,2547874.7,184326.38,2732204.09,9483.471155,1,0,0,0,1,0,0
MO,2018-2019,019-139,4020,ARCHIE R-V,CASS CO. ELEM.,2903200,2903200,26501900100000.0,290320000024,213.0,PK-05,2.0,205,September Membership,9644.32,607.26,10251.58,7282.36,440.16,7722.52,2361.96,167.1,2529.06,1977085.59999999,124488.3,2101573.9,10618.97908,1,0,0,0,1,0,0
MO,2018-2019,039-135,4020,ASH GROVE R-IV,ASH GROVE ELEM.,2903270,2903270,26503900100000.0,290327000027,230.0,PK-03,2.0,203,September Membership,7111.74,745.579999999999,7857.32,5216.73,413.27,5630,1895.01,332.31,2227.32,1443683.22,151352.74,1595035.96,8307.97683,1,0,0,0,1,0,0
MO,2018-2019,039-135,1050,ASH GROVE R-IV,ASH GROVE HIGH,2903270,2903270,26503900100000.0,290327000028,322.0,07-12,4.0,322.35,September Membership,9136.9,554.15,9691.06,7241.89,221.84,7463.74,1895.01,332.31,2227.32,2945279.715,178630.2525,3123913.191,10080.85383,1,0,0,0,1,0,0
MO,2018-2019,039-135,4040,ASH GROVE R-IV,BOIS D'ARC ELEM.,2903270,2903270,26503900100000.0,290327000026,140.0,04-06,2.0,140,September Membership,6344.86,489.62,6834.49,4449.85,157.31,4607.17,1895.01,332.31,2227.32,888280.4,68546.8,956828.6,7319.095211,1,0,0,0,1,0,0
MO,2018-2019,061-150,4020,ATLANTA C-3,ATLANTA ELEM.,2903480,2903480,26506100300000.0,290348000029,107.0,KG-06,2.0,107,September Membership,7321.67,1328.66,8650.33,5262.45,970.94,6233.39,2059.22,357.72,2416.94,783418.69,142166.62,925585.309999999,8885.347009,1,0,0,0,1,0,0
MO,2018-2019,061-150,1050,ATLANTA C-3,ATLANTA HIGH,2903480,2903480,26506100300000.0,290348000030,100.0,07-12,4.0,100,September Membership,11214.05,612.18,11826.24,9154.83,254.46,9409.29,2059.22,357.72,2416.94,1121405,61218,1182624,11955.84653,1,0,0,0,1,0,0
MO,2018-2019,055-110,1050,AURORA R-VIII,AURORA HIGH,2904020,2904020,26505500200000.0,290402000031,539.0,09-12,4.0,539,September Membership,9846.75,157.87,10004.62,7113.85,157.87,7271.72,2732.9,0,2732.9,5307398.25,85091.93,5392490.18,10178.88051,1,0,0,0,1,0,0
MO,2018-2019,055-110,2050,AURORA R-VIII,AURORA JR. HIGH,2904020,2904020,26505500200000.0,290402001517,279.0,07-08,3.0,278.53,September Membership,9270.1,932.71,10202.81,6537.2,932.71,7469.91,2732.9,0,2732.9,2582000.95299999,259787.716299999,2841788.66929999,10370.49245,1,0,0,0,1,0,0
MO,2018-2019,055-110,4020,AURORA R-VIII,PATE EARLY CHILDHOOD CTR.,2904020,2904020,26505500200000.0,290402000032,509.0,PK-02,2.0,398.45,September Membership,9758.89,360.94,10119.84,7025.99,360.94,7386.93,2732.9,0,2732.9,3888429.7205,143816.543,4032250.248,10290.27628,1,0,0,0,1,0,0
MO,2018-2019,055-110,4040,AURORA R-VIII,ROBINSON ELEM.,2904020,2904020,26505500200000.0,290402000033,280.0,03-04,2.0,280,September Membership,8605.64,30.51,8636.15,5872.74,30.51,5903.25,2732.9,0,2732.9,2409579.19999999,8542.8,2418122,8855.8309,1,0,0,0,1,0,0
MO,2018-2019,055-110,4060,AURORA R-VIII,ROBINSON INTERMEDIATE,2904020,2904020,26505500200000.0,290402002981,291.0,05-06,2.0,290.35,September Membership,7839.74,458.39,8298.13,5106.84,458.39,5565.23,2732.9,0,2732.9,2276268.509,133093.5365,2409362.0455,8529.029999,1,0,0,0,1,0,0
MO,2018-2019,034-124,4020,AVA R-I,AVA ELEM.,2904050,2904050,26503400100000.0,290405000034,507.0,PK-04,2.0,465,September Membership,7369.69,1178.72,8548.41,5005.83,709.08,5714.91,2363.86,469.64,2833.5,3426905.85,548104.8,3975010.65,9154.548725,1,0,0,0,1,0,0
MO,2018-2019,034-124,1050,AVA R-I,AVA HIGH,2904050,2904050,26503400100000.0,290405000036,429.0,09-12,4.0,397.53,September Membership,8180.75,555.579999999999,8736.33,5816.89,85.94,5902.83,2363.86,469.64,2833.5,3252093.5475,220859.717399999,3472953.2649,9336.23154,1,0,0,0,1,0,0
MO,2018-2019,034-124,3000,AVA R-I,AVA MIDDLE,2904050,2904050,26503400100000.0,290405002548,423.0,05-08,3.0,422,September Membership,6828.28,707.72,7536,4464.42,238.08,4702.5,2363.86,469.64,2833.5,2881534.16,298657.84,3180192,8175.741259,1,0,0,0,1,0,0
MO,2018-2019,002-090,4020,AVENUE CITY R-IX,AVENUE CITY ELEM.,2904080,2904080,26500200300000.0,290408000037,179.0,PK-08,3.0,212,September Membership,8637.69,393.06,9030.75,6351.58,343.82,6695.4,2286.11,49.24,2335.35,1831190.28,83328.72,1914519,8344.727393,1,0,0,0,1,0,0
MO,2018-2019,049-135,4020,AVILLA R-XIII,AVILLA ELEM.,2904110,2904110,26504900300000.0,290411000038,136.0,KG-08,3.0,195,September Membership,8813.83,726.63,9540.46,6809.32,474.32,7283.64,2004.51,252.31,2256.82,1718696.85,141692.85,1860389.69999999,,1,0,0,0,1,1,1
MO,2018-2019,077-101,4020,BAKERSFIELD R-IV,BAKERSFIELD ELEM.,2904140,2904140,26507700200000.0,290414000039,156.0,PK-05,2.0,134,September Membership,10933.57,433.4,11366.97,7663.93,384.8,8048.73,3269.64,48.6,3318.24,1465098.38,58075.6,1523173.98,12173.75373,1,0,0,0,1,0,0
MO,2018-2019,077-101,1050,BAKERSFIELD R-IV,BAKERSFIELD HIGH,2904140,2904140,26507700200000.0,290414000040,202.0,06-12,4.0,180.55,September Membership,10106.47,197.48,10303.96,6836.83,148.88,6985.71,3269.64,48.6,3318.24,1824723.1585,35655.014,1860379.978,11146.02571,1,0,0,0,1,0,0
MO,2018-2019,007-122,4020,BALLARD R-II,BALLARD ELEM.,2904170,2904170,26500700200000.0,290417000041,64.0,KG-06,2.0,63.03,September Membership,11508.45,1082.19,12590.63,7495.7,795.76,8291.46,4012.75,286.43,4299.18,725377.6035,68210.4357,793587.408899999,13098.40705,1,0,0,0,1,0,0
MO,2018-2019,007-122,1050,BALLARD R-II,BALLARD HIGH,2904170,2904170,26500700200000.0,290417000042,51.0,07-12,4.0,51,September Membership,15307.35,835.92,16143.26,11294.6,549.49,11844.08,4012.75,286.43,4299.18,780674.85,42631.92,823306.26,16533.123,1,0,0,0,1,0,0
MO,2018-2019,096-099,4020,BAYLESS,BAYLESS ELEMENTARY,2904500,2904500,26509500200000.0,290450000043,814.0,PK-05,2.0,757.62,September Membership,10109.45,567.4,10676.84,7698.9,112.11,7811,2410.55,455.29,2865.84,7659121.509,429873.588,8088987.5208,10862.83992,1,0,0,0,1,0,0
MO,2018-2019,096-099,2000,BAYLESS,BAYLESS JUNIOR HIGH,2904500,2904500,26509500200000.0,290450000715,414.0,06-08,3.0,411.78,September Membership,8720.42,530.95,9251.37,6309.87,75.66,6385.53,2410.55,455.29,2865.84,3590894.54759999,218634.591,3809529.1386,9484.682176,1,0,0,0,1,0,0
MO,2018-2019,096-099,1050,BAYLESS,BAYLESS SENIOR HIGH,2904500,2904500,26509500200000.0,290450000044,487.0,09-12,4.0,465.28,September Membership,10628.3499999999,547.57,11175.92,8217.8,92.28,8310.08,2410.55,455.29,2865.84,4945158.68799999,254773.3696,5199932.0576,11345.35513,1,0,0,0,1,0,0
MO,2018-2019,103-128,4020,BELL CITY R-II,BELL CITY ELEM.,2904530,2904530,26510400200000.0,290453000046,114.0,KG-06,2.0,114,September Membership,9968.76,308.56,10277.32,6445.49,249.69,6695.18,3523.27,58.87,3582.14,1136438.64,35175.84,1171614.48,10955.07208,1,0,0,0,1,0,0
MO,2018-2019,103-128,1050,BELL CITY R-II,BELL CITY HIGH,2904530,2904530,26510400200000.0,290453000047,111.0,07-12,4.0,111,September Membership,11646.14,311.26,11957.4,8122.87,252.39,8375.26,3523.27,58.87,3582.14,1292721.54,34549.86,1327271.4,12579.38915,1,0,0,0,1,0,0
MO,2018-2019,047-064,4020,BELLEVIEW R-III,BELLEVIEW ELEM.,2904590,2904590,26504700200000.0,290459000050,120.0,PK-08,3.0,169,September Membership,9289.88,1026.97,10316.86,6491.64,365.99,6857.64,2798.24,660.98,3459.22,1569989.72,173557.93,1743549.34,,1,0,0,0,1,1,1
MO,2018-2019,019-152,1050,BELTON 124,BELTON HIGH,2904620,2904620,26501900400000.0,290462000055,1361.0,09-12,4.0,1356.51,September Membership,10624.29,610.209999999999,11234.49,7251.09,588.15,7839.23,3373.2,22.06,3395.26,14411955.6279,827755.967099999,15239698.0299,10876.53097,1,0,0,0,1,0,0
MO,2018-2019,019-152,1055,BELTON 124,BELTON MIDDLE SCHOOL/FC,2904620,2904620,26501900400000.0,290462003025,712.0,07-08,3.0,712,September Membership,9703.63,331.19,10034.82,6330.43,309.13,6639.56,3373.2,22.06,3395.26,6908984.56,235807.28,7144791.84,9716.67878,1,0,0,0,1,0,0
MO,2018-2019,019-152,4020,BELTON 124,CAMBRIDGE ELEM.,2904620,2904620,26501900400000.0,290462000051,310.0,KG-04,2.0,309.45,September Membership,10723.2799999999,224.89,10948.17,7350.08,202.83,7552.91,3373.2,22.06,3395.26,3318318.99599999,69592.2105,3387911.2065,10599.71411,1,0,0,0,1,0,0
MO,2018-2019,019-152,4060,BELTON 124,GLADDEN ELEM.,2904620,2904620,26501900400000.0,290462000052,330.0,KG-04,2.0,329.5,September Membership,10450.25,394.69,10844.94,7077.05,372.63,7449.68,3373.2,22.06,3395.26,3443357.375,130050.355,3573407.73,10499.91038,1,0,0,0,1,0,0
MO,2018-2019,019-152,7500,BELTON 124,GRACE EARLY CHILD. ED. CTR.,2904620,2904620,26501900400000.0,290462002725,298.0,PK-PK,1.0,NRD,September Membership,NRD,NRD,NRD,NRD,NRD,NRD,NRD,NRD,NRD,NRD,NRD,NRD,,1,0,0,0,1,1,0
MO,2018-2019,019-152,4040,BELTON 124,HILLCREST STEAM ACADEMY,2904620,2904620,26501900400000.0,290462000053,503.0,KG-06,2.0,503,September Membership,9319.61,200.45,9520.05,5946.41,178.39,6124.79,3373.2,22.06,3395.26,4687763.83,100826.349999999,4788585.14999999,9218.994325,1,0,0,0,1,0,0
MO,2018-2019,019-152,4090,BELTON 124,KENTUCKY TRAIL ELEM.,2904620,2904620,26501900400000.0,290462002988,375.0,KG-04,2.0,374.06,September Membership,10038.52,221.72,10260.25,6665.32,199.66,6864.99,3373.2,22.06,3395.26,3755008.7912,82936.5832,3837949.115,9934.626614,1,0,0,0,1,0,0
MO,2018-2019,019-152,4080,BELTON 124,MILL CREEK UPPER ELEM.,2904620,2904620,26501900400000.0,290462002724,585.0,05-06,2.0,585,September Membership,9234.02,406.49,9640.51,5860.82,384.43,6245.25,3373.2,22.06,3395.26,5401901.7,237796.65,5639698.35,9335.45618,1,0,0,0,1,0,0
MO,2018-2019,019-152,4050,BELTON 124,SCOTT ELEM.,2904620,2904620,26501900400000.0,290462000054,,,,237.53,September Membership,10831.89,273.78,11105.66,7458.69,251.72,7710.4,3373.2,22.06,3395.26,2572898.8317,65030.9633999999,2637927.4198,10751.97692,1,0,0,0,1,0,0
MO,2018-2019,103-135,4020,BERNIE R-XIII,BERNIE ELEM.,2904950,2904950,26510400300000.0,290495000060,308.0,PK-06,2.0,285,September Membership,6559.04,963.099999999999,7522.14,4909.38,286.19,5195.58,1649.66,676.91,2326.57,1869326.4,274483.5,2143809.9,8286.366922,1,0,0,0,1,0,0
MO,2018-2019,103-135,1050,BERNIE R-XIII,BERNIE HIGH,2904950,2904950,26510400300000.0,290495000061,227.0,07-12,4.0,225.48,September Membership,8081.63999999999,1099.38,9181.02,6431.98,422.47,6854.45,1649.66,676.91,2326.57,1822248.18719999,247888.2024,2070136.3896,9890.187636,1,0,0,0,1,0,0
MO,2018-2019,061-151,4020,BEVIER C-4,BEVIER ELEM.,2904980,2904980,26506100600000.0,290498000062,127.0,PK-08,3.0,118,September Membership,10699.73,480.02,11179.76,7447.34,473.81,7921.15,3252.39,6.21,3258.61,1262568.14,56642.36,1319211.68,11928.86226,1,0,0,0,1,0,0
MO,2018-2019,061-151,1050,BEVIER C-4,BEVIER HIGH,2904980,2904980,26506100600000.0,290498000063,72.0,09-12,4.0,53,September Membership,11174.23,490.349999999999,11664.58,7921.84,484.14,8405.97,3252.39,6.21,3258.61,592234.19,25988.55,618222.74,12397.59078,1,0,0,0,1,1,0
MO,2018-2019,022-091,4020,BILLINGS R-IV,BILLINGS ELEM.,2905070,2905070,26502200100000.0,290507000065,223.0,PK-06,2.0,199,September Membership,8446.85,762.59,9209.43,5671.85,762.59,6434.43,2775,0,2775,1680923.15,151755.41,1832676.57,9195.078616,1,0,0,0,1,0,0
MO,2018-2019,022-091,1050,BILLINGS R-IV,BILLINGS SR. HIGH,2905070,2905070,26502200100000.0,290507000066,189.0,07-12,4.0,189,September Membership,9452.34,400.47,9852.81,6677.34,400.47,7077.81,2775,0,2775,1786492.26,75688.83,1862181.08999999,9817.104423,1,0,0,0,1,0,0
MO,2018-2019,094-076,4020,BISMARCK R-V,BISMARCK R-V ELEM.,2905130,2905130,26509400200000.0,290513000067,224.0,PK-05,2.0,208,September Membership,9713.29,648.37,10361.65,6366.71,387.51,6754.22,3346.58,260.86,3607.43,2020364.32,134860.96,2155223.19999999,10143.32081,1,0,0,0,1,0,0
MO,2018-2019,094-076,1050,BISMARCK R-V,BISMARCK R-V HIGH,2905130,2905130,26509400200000.0,290513000068,277.0,06-12,4.0,277,September Membership,9407.88,569.39,9977.26,6061.3,308.53,6369.83,3346.58,260.86,3607.43,2605982.76,157721.03,2763701.02,9771.688957,1,0,0,0,1,0,0
MO,2018-2019,027-055,4020,BLACKWATER R-II,BLACKWATER ELEM.,2905190,2905190,26502700200000.0,290519000069,105.0,PK-08,3.0,156,September Membership,8988.14,587.15,9575.3,6200.96,587.15,6788.11,2787.18,0,2787.18,1402149.83999999,91595.4,1493746.79999999,,1,0,0,0,1,1,1
MO,2018-2019,026-002,4020,BLAIR OAKS R-II,BLAIR OAKS ELEM.,2909930,2909930,26502600200000.0,290993000294,421.0,PK-04,2.0,396.6,September Membership,8943.41,487.65,9431.07,6657.04,487.65,7144.7,2286.37,0,2286.37,3546956.406,193401.99,3740362.362,9850.553537,1,0,0,0,1,0,0
MO,2018-2019,026-002,1050,BLAIR OAKS R-II,BLAIR OAKS HIGH,2909930,2909930,26502600200000.0,290993000295,458.0,09-12,4.0,457,September Membership,7218.34,29.55,7247.89,4931.97,29.55,4961.52,2286.37,0,2286.37,3298781.38,13504.35,3312285.73,7739.834675,1,0,0,0,1,0,0
MO,2018-2019,026-002,3000,BLAIR OAKS R-II,BLAIR OAKS MIDDLE SCHOOL,2909930,2909930,26502600200000.0,290993003117,376.0,05-08,3.0,371.29,September Membership,7222.94,147.3,7370.24,4936.57,147.3,5083.87,2286.37,0,2286.37,2681805.3926,54691.017,2736496.4096,7858.1238,1,0,0,0,1,0,0
MO,2018-2019,103-131,4020,BLOOMFIELD R-XIV,BLOOMFIELD ELEM.,2905250,2905250,26510400400000.0,290525000072,266.0,PK-04,2.0,229,September Membership,8109.7,318.39,8428.1,5885.54,318.39,6203.94,2224.16,0,2224.16,1857121.3,72911.31,1930034.9,9026.282762,1,0,0,0,1,0,0
MO,2018-2019,103-131,1050,BLOOMFIELD R-XIV,BLOOMFIELD HIGH,2905250,2905250,26510400400000.0,290525000073,202.0,09-12,4.0,201.5,September Membership,9031.97,190.09,9222.05,6807.81,190.09,6997.89,2224.16,0,2224.16,1819941.955,38303.135,1858243.075,9793.881054,1,0,0,0,1,0,0
