state,year,distid_stateassigned,schoolid_stateassigned,distname,schoolname,ncesdistid_admin,ncesdistid_geo,census_id,ncesid,ncesenroll,gradespan,level,enroll_raw_CA,enrollmetric,pp_stloc_raw_CA,pp_fed_raw_CA,pp_total_raw_CA,pp_site_stloc_raw_CA,pp_site_fed_raw_CA,pp_site_raw_CA,pp_centshare_stloc_raw_CA,pp_centshare_fed_raw_CA,pp_centshare_raw_CA,schoolstloc_raw_CA,schoolfed_raw_CA,schooltot_raw_CA,pp_total_norm_NERDS,distexclu_raw_CA,disttotwexclu_raw_CA,countenroll,noaudit,nositecen,adfinvars,distflex,flag_nerds,flag_f33
CA,2018-2019,19642120000000,19642126085617,ABC Unified,Gonsalves (Joe A.) Elementary,601620.0,601620.0,5501970200000.0,60162000015.0,642.0,KG-06,2.0,642,CALPADS Fall 1 Submission enrollment,9915,919,10834,5220,0,5220,4695,919,5614,6365430,589998,6955428,11034.2925482531,30576001,275922014,1,0,0,0,1,0,0
CA,2018-2019,19642120000000,19642126061220,ABC Unified,Haskell (Pliny Fisk) Middle,601620.0,601620.0,5501970200000.0,60162000016.0,556.0,07-08,3.0,556,CALPADS Fall 1 Submission enrollment,11127,1126,12253,6135,165,6300,4992,961,5953,6186612,626056,6812668,12453.2925482531,30576001,275922014,1,0,0,0,1,0,0
CA,2018-2019,19642120000000,19642126010920,ABC Unified,Hawaiian Elementary,601620.0,601620.0,5501970200000.0,60162000017.0,348.0,KG-06,2.0,347,CALPADS Fall 1 Submission enrollment,12651,1375,14026,7411,414,7825,5240,961,6201,4389897,477125,4867022,14226.2925482531,30576001,275922014,1,0,0,0,1,0,0
CA,2018-2019,19642120000000,19642126071351,ABC Unified,Juarez (Benito) Elementary,601620.0,601620.0,5501970200000.0,60162000018.0,339.0,KG-06,2.0,339,CALPADS Fall 1 Submission enrollment,11798,1239,13037,6716,278,6994,5082,961,6043,3999522,420021,4419543,13237.2925482531,30576001,275922014,1,0,0,0,1,0,0
CA,2018-2019,19642120000000,19642126010938,ABC Unified,Kennedy (John F.) Elementary,601620.0,601620.0,5501970200000.0,60162000019.0,459.0,KG-06,2.0,459,CALPADS Fall 1 Submission enrollment,11042,1167,12209,6127,206,6333,4915,961,5876,5068278,535653,5603931,12409.2925482531,30576001,275922014,1,0,0,0,1,0,0
CA,2018-2019,19642120000000,19642126085609,ABC Unified,Leal (Frank C.) Elementary,601620.0,601620.0,5501970200000.0,60162000021.0,766.0,KG-06,2.0,766,CALPADS Fall 1 Submission enrollment,9687,919,10606,5028,0,5028,4659,919,5578,7420242,703954,8124196,10806.2925482531,30576001,275922014,1,0,0,0,1,0,0
CA,2018-2019,19642120000000,19642126010912,ABC Unified,Melbourne (Ella P.) Elementary,601620.0,601620.0,5501970200000.0,60162000022.0,458.0,KG-06,2.0,458,CALPADS Fall 1 Submission enrollment,11973,1270,13243,6787,309,7096,5186,961,6147,5483634,581660,6065294,13443.2925482531,30576001,275922014,1,0,0,0,1,0,0
CA,2018-2019,19642120000000,19642126010946,ABC Unified,Niemes (John H.) Elementary,601620.0,601620.0,5501970200000.0,60162000023.0,675.0,KG-06,2.0,675,CALPADS Fall 1 Submission enrollment,10794,1246,12040,6029,285,6314,4765,961,5726,7285950,841050,8127000,12240.2925482531,30576001,275922014,1,0,0,0,1,0,0
CA,2018-2019,19642120000000,19642126093454,ABC Unified,Nixon (Patricia) Elementary,601620.0,601620.0,5501970200000.0,60162000024.0,785.0,KG-06,2.0,785,CALPADS Fall 1 Submission enrollment,10146,919,11065,5522,0,5522,4624,919,5543,7964610,721415,8686025,11265.2925482531,30576001,275922014,1,0,0,0,1,0,0
CA,2018-2019,19642120000000,19642126010961,ABC Unified,Palms Elementary,601620.0,601620.0,5501970200000.0,60162000025.0,657.0,KG-06,2.0,657,CALPADS Fall 1 Submission enrollment,10096,1218,11314,5410,257,5667,4686,961,5647,6633072,800226,7433298,11514.2925482531,30576001,275922014,1,0,0,0,1,0,0
CA,2018-2019,19642120000000,19642126057442,ABC Unified,Ross (Faye) Middle,601620.0,601620.0,5501970200000.0,60162000012.0,635.0,07-08,3.0,635,CALPADS Fall 1 Submission enrollment,10996,1121,12117,6091,160,6251,4905,961,5866,6982460,711835,7694295,12317.2925482531,30576001,275922014,1,0,0,0,1,0,0
CA,2018-2019,19642120000000,19642126066716,ABC Unified,Stowers(Cecil B.) Elementary,601620.0,601620.0,5501970200000.0,60162000026.0,670.0,KG-06,2.0,670,CALPADS Fall 1 Submission enrollment,9688,919,10607,4958,0,4958,4730,919,5649,6490960,615730,7106690,10807.2925482531,30576001,275922014,1,0,0,0,1,0,0
CA,2018-2019,19642120000000,19642126057459,ABC Unified,Tetzlaff (Martin B.) Middle,601620.0,601620.0,5501970200000.0,60162000027.0,646.0,07-08,3.0,646,CALPADS Fall 1 Submission enrollment,11058,919,11977,6123,0,6123,4935,919,5854,7143468,593674,7737142,12177.2925482531,30576001,275922014,1,0,0,0,1,0,0
CA,2018-2019,19642120000000,19642121931641,ABC Unified,Tracy (Wilbur) High (Continuation),601620.0,601620.0,5501970200000.0,60162000028.0,239.0,09-12,4.0,239,CALPADS Fall 1 Submission enrollment,16078,992,17070,11007,31,11038,5071,961,6032,3842642,237088,4079730,17270.2925482531,30576001,275922014,1,0,0,0,1,0,0
CA,2018-2019,19642120000000,19642121931880,ABC Unified,Whitney (Gretchen) High,601620.0,601620.0,5501970200000.0,60162000029.0,1009.0,07-12,4.0,1009,CALPADS Fall 1 Submission enrollment,10458,643,11101,6992,0,6992,3466,643,4109,10552122,648787,11200909,11301.2925482531,30576001,275922014,1,0,0,0,1,0,0
CA,2018-2019,19642120000000,19642126010995,ABC Unified,Willow Elementary,601620.0,601620.0,5501970200000.0,60162000030.0,434.0,KG-06,2.0,434,CALPADS Fall 1 Submission enrollment,11223,1261,12484,6009,300,6309,5214,961,6175,4870782,547274,5418056,12684.2925482531,30576001,275922014,1,0,0,0,1,0,0
CA,2018-2019,19642120000000,19642126093447,ABC Unified,Wittmann (Helen) Elementary,601620.0,601620.0,5501970200000.0,60162000031.0,620.0,KG-06,2.0,620,CALPADS Fall 1 Submission enrollment,9534,919,10453,4838,0,4838,4696,919,5615,5911080,569780,6480860,10653.2925482531,30576001,275922014,1,0,0,0,1,0,0
CA,2018-2019,19769680109926,1099260109926,Academia Avance Charter,Academia Avance Charter,602291.0,602291.0,,60229110895.0,391.0,06-12,4.0,391,CALPADS Fall 1 Submission enrollment,13556,704,14260,13556,704,14260,0,0,0,5300396,275264,5575660,13173.9130434782,383049,5958709,1,0,0,0,1,0,0
CA,2018-2019,19647330120097,1200970120097,Academia Moderna,Academia Moderna,602361.0,602361.0,,60236112455.0,465.0,KG-05,2.0,463,CALPADS Fall 1 Submission enrollment,13275,780,14055,13275,780,14055,0,0,0,6146325,361140,6507465,12937.8709677419,95447,6602912,1,0,0,0,1,0,0
CA,2018-2019,36750773631207,36312073631207,Academy for Academic Excellence,Academy for Academic Excellence,601911.0,601911.0,,60191107296.0,1447.0,KG-12,4.0,1447,CALPADS Fall 1 Submission enrollment,987,6148,7135,987,6148,7135,0,0,0,1428189,8896156,10324345,7713.89080856945,0,10324345,1,0,0,0,1,0,0
CA,2018-2019,1390550139055,1390550139055,Academy of Media Arts District,Academy of Media Arts,602503.0,602503.0,,60250314434.0,,09-12,4.0,NRD,CALPADS Fall 1 Submission enrollment,NRD,NRD,NRD,NRD,NRD,NRD,NRD,NRD,NRD,NRD,NRD,NRD,,NRD,NRD,1,0,0,0,1,1,1
CA,2018-2019,7616300000000,7616300107524,Acalanes Union High,Acalanes Center for Independent Study,601650.0,601650.0,5500700100000.0,60165010751.0,27.0,09-12,4.0,27,CALPADS Fall 1 Submission enrollment,22984,68,23052,18828,0,18828,4156,68,4224,620568,1836,622404,23694.5651944395,15438056,98551358,1,0,0,0,1,0,0
CA,2018-2019,7616300000000,7616300730283,Acalanes Union High,Acalanes High,601650.0,601650.0,5500700100000.0,60165000032.0,1335.0,09-12,4.0,1335,CALPADS Fall 1 Submission enrollment,14779,610,15389,10623,542,11165,4156,68,4224,19729965,814350,20544315,16031.5651944395,15438056,98551358,1,0,0,0,1,0,0
CA,2018-2019,7616300000000,7616300731125,Acalanes Union High,Campolindo High,601650.0,601650.0,5500700100000.0,60165000033.0,1406.0,09-12,4.0,1406,CALPADS Fall 1 Submission enrollment,14428,230,14658,10272,162,10434,4156,68,4224,20285768,323380,20609148,15300.5651944395,15438056,98551358,1,0,0,0,1,0,0
CA,2018-2019,7616300000000,7616300733725,Acalanes Union High,Las Lomas High,601650.0,601650.0,5500700100000.0,60165000035.0,1601.0,09-12,4.0,1601,CALPADS Fall 1 Submission enrollment,13606,353,13959,9450,285,9735,4156,68,4224,21783206,565153,22348359,14601.5651944395,15438056,98551358,1,0,0,0,1,0,0
CA,2018-2019,7616300000000,7616300734244,Acalanes Union High,Miramonte High,601650.0,601650.0,5500700100000.0,60165000036.0,1286.0,09-12,4.0,1286,CALPADS Fall 1 Submission enrollment,14311,455,14766,10155,387,10542,4156,68,4224,18403946,585130,18989076,15408.5651944395,15438056,98551358,1,0,0,0,1,0,0
CA,2018-2019,19647336112536,61125366112536,Accelerated,Accelerated,601732.0,601732.0,,60173203245.0,787.0,KG-08,3.0,787,CALPADS Fall 1 Submission enrollment,11540,748,12288,11540,748,12288,0,0,0,9081980,588676,9670656,11839.8983481575,0,9670656,1,0,0,0,1,0,0
CA,2018-2019,23656152330454,23304542330454,Accelerated Achievement Academy,Accelerated Achievement Academy,601877.0,601877.0,,60187710552.0,146.0,04-12,4.0,146,CALPADS Fall 1 Submission enrollment,10941,637,11578,10941,637,11578,0,0,0,1597386,93002,1690388,11698.6301369863,0,1690388,1,0,0,0,1,0,0
CA,2018-2019,19647330100743,1007430100743,Accelerated Charter Elementary,Accelerated Charter Elementary,601471.0,601471.0,,60147110830.0,501.0,KG-06,2.0,501,CALPADS Fall 1 Submission enrollment,10830,756,11586,10830,756,11586,0,0,0,5425830,378756,5804586,,0,5804586,1,0,0,0,1,1,1
CA,2018-2019,43694270125617,1256170125617,ACE Charter High,ACE Charter High,601561.0,601561.0,,60156113023.0,363.0,09-12,4.0,363,CALPADS Fall 1 Submission enrollment,12452,539,12991,12452,539,12991,0,0,0,4520076,195657,4715733,,0,4715733,1,0,0,0,1,1,1
CA,2018-2019,43104390116814,1168140116814,ACE Empower Academy,ACE Empower Academy,602217.0,602217.0,,60221712198.0,301.0,05-08,3.0,301,CALPADS Fall 1 Submission enrollment,13366,1037,14403,13366,1037,14403,0,0,0,4023166,312137,4335303,14717.6079734219,0,4335303,1,0,0,0,1,0,0
CA,2018-2019,43694500129247,1292470129247,ACE Esperanza Middle,ACE Esperanza Middle,601852.0,601852.0,,60185213740.0,288.0,05-08,3.0,288,CALPADS Fall 1 Submission enrollment,12643,1161,13804,12643,1161,13804,0,0,0,3641184,334368,3975552,13538.1944444444,0,3975552,1,0,0,0,1,0,0
CA,2018-2019,43696660131656,1316560131656,ACE Inspire Academy,ACE Inspire Academy,602138.0,602138.0,,60213813852.0,257.0,05-08,3.0,257,CALPADS Fall 1 Submission enrollment,11865,874,12739,11865,874,12739,0,0,0,3049305,224618,3273923,12186.7704280155,0,3273923,1,0,0,0,1,0,0
CA,2018-2019,1612590111476,1114760111476,Achieve Academy,Achieve Academy,602165.0,602165.0,,60216511561.0,638.0,KG-05,2.0,634,CALPADS Fall 1 Submission enrollment,12586,819,13405,12586,819,13405,0,0,0,7979524,519246,8498770,12836.394984326,5621,8504391,1,0,0,0,1,0,0
CA,2018-2019,4100410136820,1368200136820,Achieve Charter High,Achieve Charter High,601615.0,601615.0,,60161514213.0,48.0,09-12,4.0,48,CALPADS Fall 1 Submission enrollment,15117,0,15117,15117,0,15117,0,0,0,725616,0,725616,,17137,742753,1,0,0,0,1,1,1
CA,2018-2019,4615310110338,1103380110338,Achieve Charter School of Paradise Inc.,Achieve Charter School of Paradise Inc.,602133.0,602133.0,,60213311571.0,236.0,KG-08,3.0,236,CALPADS Fall 1 Submission enrollment,9256,120,9376,9256,120,9376,0,0,0,2184416,28320,2212736,,9678,2222414,1,0,0,0,1,1,1
CA,2018-2019,31667610000000,31667616031009,Ackerman Charter,Bowman Charter,601680.0,601680.0,5503100100000.0,60168000037.0,593.0,KG-08,3.0,593,CALPADS Fall 1 Submission enrollment,7121,212,7333,6228,212,6440,893,0,893,4222753,125716,4348469,,625397,4973866,1,0,0,0,1,1,1
CA,2018-2019,19753090000000,19753096107494,Acton-Agua Dulce Unified,High Desert,600001.0,600001.0,5501909400000.0,60000109444.0,362.0,05-08,3.0,362,CALPADS Fall 1 Submission enrollment,13778,730,14508,5702,186,5888,8076,544,8620,4987636,264260,5251896,14171.2165898617,2030744,17931154,1,0,0,0,1,0,0
CA,2018-2019,19753090000000,19753096115679,Acton-Agua Dulce Unified,Meadowlark Elementary,600001.0,600001.0,5501909400000.0,60000107534.0,344.0,KG-04,2.0,343,CALPADS Fall 1 Submission enrollment,13498,753,14251,5419,209,5628,8079,544,8623,4629814,258279,4888093,13914.2165898617,2030744,17931154,1,0,0,0,1,0,0
CA,2018-2019,19753090000000,19753091995786,Acton-Agua Dulce Unified,Vasquez High,600001.0,600001.0,5501909400000.0,60000103278.0,379.0,09-12,4.0,379,CALPADS Fall 1 Submission enrollment,14648,551,15199,6571,7,6578,8077,544,8621,5551592,208829,5760421,14862.2165898617,2030744,17931154,1,0,0,0,1,0,0
CA,2018-2019,42767866118202,61182026118202,Adelante Charter,Adelante Charter,602343.0,602343.0,,60234308628.0,290.0,KG-06,2.0,290,CALPADS Fall 1 Submission enrollment,9813,587,10400,9813,587,10400,0,0,0,2845770,170230,3016000,,1974,3017974,1,0,0,0,1,1,1
CA,2018-2019,36675870000000,36675876035174,Adelanto Elementary,Adelanto Elementary,601710.0,601710.0,5503600100000.0,60171000038.0,322.0,KG-05,2.0,322,CALPADS Fall 1 Submission enrollment,12361,1539,13900,9962,470,10432,2399,1069,3468,3980242,495558,4475800,14627.5432353655,385,100995794,1,0,0,0,1,0,0
CA,2018-2019,36675870000000,36675870138529,Adelanto Elementary,Adelanto Virtual Academy,601710.0,601710.0,5503600100000.0,60171014369.0,29.0,KG-08,3.0,29,CALPADS Fall 1 Submission enrollment,7347,10169,17516,4948,9100,14048,2399,1069,3468,213063,294901,507964,18243.5432353655,385,100995794,1,0,0,0,1,0,0
CA,2018-2019,36675870000000,36675870107433,Adelanto Elementary,Columbia Middle,601710.0,601710.0,5503600100000.0,60171011090.0,737.0,06-08,3.0,737,CALPADS Fall 1 Submission enrollment,11729,1864,13593,9330,795,10125,2399,1069,3468,8644273,1373768,10018041,14320.5432353655,385,100995794,1,0,0,0,1,0,0
CA,2018-2019,36675870000000,36675876115117,Adelanto Elementary,Donald F. Bradach Elementary,601710.0,601710.0,5503600100000.0,60171007613.0,470.0,KG-05,2.0,470,CALPADS Fall 1 Submission enrollment,10665,1591,12256,8266,522,8788,2399,1069,3468,5012550,747770,5760320,12983.5432353655,385,100995794,1,0,0,0,1,0,0
CA,2018-2019,36675870000000,36675876109409,Adelanto Elementary,Eagle Ranch Elementary,601710.0,601710.0,5503600100000.0,60171009690.0,628.0,KG-05,2.0,628,CALPADS Fall 1 Submission enrollment,10846,1430,12276,8447,361,8808,2399,1069,3468,6811288,898040,7709328,13003.5432353655,385,100995794,1,0,0,0,1,0,0
CA,2018-2019,36675870000000,36675870125880,Adelanto Elementary,El Mirage,601710.0,601710.0,5503600100000.0,60171013193.0,140.0,KG-08,3.0,140,CALPADS Fall 1 Submission enrollment,12329,1485,13814,9930,416,10346,2399,1069,3468,1726060,207900,1933960,14541.5432353655,385,100995794,1,0,0,0,1,0,0
CA,2018-2019,36675870000000,36675870107425,Adelanto Elementary,George Visual and Performing Arts Magnet and Middle,601710.0,601710.0,5503600100000.0,60171011089.0,728.0,KG-08,3.0,728,CALPADS Fall 1 Submission enrollment,9996,1258,11254,7597,189,7786,2399,1069,3468,7277088,915824,8192912,11981.5432353655,385,100995794,1,0,0,0,1,0,0
CA,2018-2019,36675870000000,36675870125898,Adelanto Elementary,Gus Franklin Jr. School,601710.0,601710.0,5503600100000.0,60171013092.0,569.0,KG-05,2.0,569,CALPADS Fall 1 Submission enrollment,10867,1520,12387,8468,451,8919,2399,1069,3468,6183323,864880,7048203,13114.5432353655,385,100995794,1,0,0,0,1,0,0
CA,2018-2019,36675870000000,36675870131441,Adelanto Elementary,Melva Davis Academy of Excellence,601710.0,601710.0,5503600100000.0,60171013994.0,871.0,06-08,3.0,871,CALPADS Fall 1 Submission enrollment,11644,1333,12977,9245,264,9509,2399,1069,3468,10141924,1161043,11302967,13704.5432353655,385,100995794,1,0,0,0,1,0,0
CA,2018-2019,36675870000000,36675876116370,Adelanto Elementary,Mesa Linda Middle,601710.0,601710.0,5503600100000.0,60171008288.0,848.0,06-08,3.0,848,CALPADS Fall 1 Submission enrollment,10416,1798,12214,8017,729,8746,2399,1069,3468,8832768,1524704,10357472,12941.5432353655,385,100995794,1,0,0,0,1,0,0
CA,2018-2019,36675870000000,36675876120604,Adelanto Elementary,Morgan Kincaid Preparatory,601710.0,601710.0,5503600100000.0,60171010603.0,803.0,KG-05,2.0,803,CALPADS Fall 1 Submission enrollment,9664,1413,11077,7265,344,7609,2399,1069,3468,7760192,1134639,8894831,11804.5432353655,385,100995794,1,0,0,0,1,0,0
CA,2018-2019,36675870000000,36675870107441,Adelanto Elementary,Theodore Vick Elementary,601710.0,601710.0,5503600100000.0,60171011091.0,534.0,KG-05,2.0,534,CALPADS Fall 1 Submission enrollment,10482,1484,11966,8083,415,8498,2399,1069,3468,5597388,792456,6389844,12693.5432353655,385,100995794,1,0,0,0,1,0,0
CA,2018-2019,36675870000000,36675870109470,Adelanto Elementary,Victoria Magathan Elementary,601710.0,601710.0,5503600100000.0,60171011092.0,517.0,KG-05,2.0,517,CALPADS Fall 1 Submission enrollment,10486,1293,11779,8087,224,8311,2399,1069,3468,5421262,668481,6089743,12506.5432353655,385,100995794,1,0,0,0,1,0,0
CA,2018-2019,36675870000000,36675870112086,Adelanto Elementary,West Creek Elementary,601710.0,601710.0,5503600100000.0,60171011736.0,466.0,KG-05,2.0,466,CALPADS Fall 1 Submission enrollment,10583,1589,12172,8184,520,8704,2399,1069,3468,4931678,740474,5672152,12899.5432353655,385,100995794,1,0,0,0,1,0,0
CA,2018-2019,36675870000000,36675876106694,Adelanto Elementary,Westside Park Elementary,601710.0,601710.0,5503600100000.0,60171009110.0,571.0,KG-05,2.0,571,CALPADS Fall 1 Submission enrollment,10210,1422,11632,7811,353,8164,2399,1069,3468,5829910,811962,6641872,12359.5432353655,385,100995794,1,0,0,0,1,0,0
CA,2018-2019,51105120138040,1380400138040,AeroSTEM Academy,AeroSTEM Academy,601724.0,601724.0,,60172414234.0,62.0,06-12,4.0,62,CALPADS Fall 1 Submission enrollment,13526,4200,17726,13526,4200,17726,0,0,0,838612,260400,1099012,17193.5483870967,0,1099012,1,0,0,0,1,0,0
CA,2018-2019,19647330118588,1185880118588,Alain Leroy Locke College Preparatory Academy,Alain Leroy Locke College Preparatory Academy,602092.0,602092.0,,60209212248.0,1393.0,09-12,4.0,1393,CALPADS Fall 1 Submission enrollment,,,,,,,0,0,0,,,,,0,0,1,0,0,0,1,1,1
CA,2018-2019,1611190130609,1306090130609,Alameda Community Learning Center,Alameda Community Learning Center,601664.0,601664.0,,60166408673.0,351.0,06-12,4.0,351,CALPADS Fall 1 Submission enrollment,10080,152,10232,10080,152,10232,0,0,0,3538080,53352,3591432,10239.3162393162,16773,3608205,1,0,0,0,1,0,0
CA,2018-2019,1100170000000,1100170130419,Alameda County Office of Education,Alameda County Community,691051.0,691051.0,5100100130100.0,69105106830.0,133.0,KG-12,4.0,133,CALPADS Fall 1 Submission enrollment,35739,4374,40113,23993,1095,25088,11746,3279,15025,4753287,581742,5335029,,26215668,36744909,1,0,0,0,1,1,1
CA,2018-2019,1100170000000,1100170130401,Alameda County Office of Education,Alameda County Juvenile Hall/Court,691051.0,691051.0,5100100130100.0,69105109264.0,46.0,KG-12,4.0,53,CALPADS Fall 1 Submission enrollment,52798,9919,62717,41052,6640,47692,11746,3279,15025,2798294,525707,3324001,,26215668,36744909,1,0,0,0,1,1,1
CA,2018-2019,1100170000000,1100176106751,Alameda County Office of Education,Alameda County Special Education,691051.0,691051.0,5100100130100.0,69105108672.0,,,0.0,,CALPADS Fall 1 Submission enrollment,17003,2270,19273,17003,2270,19273,0,0,0,,,,,26215668,36744909,1,0,0,0,1,1,1
CA,2018-2019,1100170000000,1100170136226,Alameda County Office of Education,Opportunity Academy,691051.0,691051.0,5100100130100.0,69105114090.0,71.0,10-12,4.0,71,CALPADS Fall 1 Submission enrollment,23062,3279,26341,11316,0,11316,11746,3279,15025,1637402,232809,1870211,,26215668,36744909,1,0,0,0,1,1,1
CA,2018-2019,1611190000000,1611190130229,Alameda Unified,Alameda High,601770.0,601770.0,5500100100000.0,60177000041.0,1767.0,09-12,4.0,1767,CALPADS Fall 1 Submission enrollment,,,,,,,,,,,,,,0,0,1,0,0,0,1,1,1
CA,2018-2019,1611190000000,1611190106401,Alameda Unified,Alameda Science and Technology Institute,601770.0,601770.0,5500100100000.0,60177010547.0,192.0,09-12,4.0,192,CALPADS Fall 1 Submission enrollment,,,,,,,,,,,,,,0,0,1,0,0,0,1,1,1
CA,2018-2019,1611190000000,1611190138214,Alameda Unified,Alameda Unified Special Education,601770.0,601770.0,5500100100000.0,60177014340.0,,,0.0,NRD,CALPADS Fall 1 Submission enrollment,NRD,NRD,NRD,NRD,NRD,NRD,NRD,NRD,NRD,NRD,NRD,NRD,,0,0,1,0,0,0,1,1,1
CA,2018-2019,1611190000000,1611196100374,Alameda Unified,Amelia Earhart Elementary,601770.0,601770.0,5500100100000.0,60177000043.0,651.0,KG-05,2.0,651,CALPADS Fall 1 Submission enrollment,,,,,,,,,,,,,,0,0,1,0,0,0,1,1,1
CA,2018-2019,1611190000000,1611196110779,Alameda Unified,Bay Farm,601770.0,601770.0,5500100100000.0,60177000006.0,610.0,KG-08,3.0,610,CALPADS Fall 1 Submission enrollment,,,,,,,,,,,,,,0,0,1,0,0,0,1,1,1
CA,2018-2019,1611190000000,1611196090013,Alameda Unified,Edison Elementary,601770.0,601770.0,5500100100000.0,60177000044.0,469.0,KG-05,2.0,469,CALPADS Fall 1 Submission enrollment,,,,,,,,,,,,,,0,0,1,0,0,0,1,1,1
CA,2018-2019,1611190000000,1611190132142,Alameda Unified,Encinal Junior/Senior High,601770.0,601770.0,5500100100000.0,60177000045.0,1261.0,06-12,4.0,1261,CALPADS Fall 1 Submission enrollment,,,,,,,,,,,,,,0,0,1,0,0,0,1,1,1
